Year;Mes ;Periodo;Tot_cotizantes1;Tot_cotizantes _tipo;Cot_independientes1;Cot_independientes_tipo;Cot_dependientes1;Cot_dependientes_tipo;Tot_cotizantes ;Cot_independientes;Cot_dependientes
2011;1;2011_Enero;8169867;8169867;1661133;1661133;6508734;6508734;7944848,494;1699114,874;6264562,242
2011;2;2011_Febrero;8281615;8281615;1726069;1726069;6555546;6555546;8053518,675;1765535,639;6309618,114
2011;3;2011_Marzo;8381810;8381810;1749567;1749567;6632243;6632243;8150954,055;1789570,921;6383437,866
2011;4;2011_Abril;8428535;8428535;1761447;1761447;6667088;6667088;8196392,132;1801722,558;6416975,674
2011;5;2011_Mayo;8502529;8502529;1775806;1775806;6726723;6726723;8268348,153;1816409,877;6474373,498
2011;6;2011_Junio;8544024;8544024;1785788;1785788;6758236;6758236;8308700,277;1826620,116;6504704,304
2011;7;2011_Julio;8575626;8575626;1799173;1799173;6776453;6776453;8339431,879;1840311,165;6522237,903
2011;8;2011_Agosto;8645890;8645890;1813920;1813920;6831970;6831970;8407760,633;1855395,355;6575672,212
2011;9;2011_Septiembre;8721085;8721085;1824932;1824932;6896153;6896153;8480884,576;1866659,145;6637447,42
2011;10;2011_Octubre;8782861;8782861;1834386;1834386;6948475;6948475;8540959,11;1876329,311;6687806,587
2011;11;2011_Noviembre;8836505;8836505;1840484;1840484;6996021;6996021;8593125,621;1882566,742;6733568,924
2011;12;2011_Diciembre;8823937;8823937;1813270;1813270;7010667;7010667;8580903,775;1854730,493;6747665,487
2012;1;2012_Enero;8793610;8793610;1762087;1762087;7031523;7031523;8551412,056;1802377,192;6767739,085
2012;2;2012_Febrero;8792421;8792421;1761976;1761976;7030445;7030445;8550255,804;1802263,654;6766701,526
2012;3;2012_Marzo;8846259;8846259;1765931;1765931;7080328;7080328;8602610,971;1806309,085;6814713,191
2012;4;2012_Abril;8897394;8897394;1762197;1762197;7135197;7135197;8652337,586;1802489,707;6867523,809
2012;5;2012_Mayo;8950027;8950027;1759569;1759569;7190458;7190458;8703520,942;1799801,618;6920711,722
2012;6;2012_Junio;8983039;8983039;1756747;1756747;7226292;7226292;8735623,709;1796915,092;6955201,428
2012;7;2012_Julio;9014621;9014621;1754351;1754351;7260270;7260270;8766335,862;1794464,308;6987904,761
2012;8;2012_Agosto;9069506;9069506;1763334;1763334;7306172;7306172;8819709,192;1803652,704;7032084,771
2012;9;2012_Septiembre;9122529;9122529;1772708;1772708;7349821;7349821;8871271,807;1813241,041;7074096,302
2012;10;2012_Octubre;9196787;9196787;1783246;1783246;7413541;7413541;8943484,556;1824019,993;7135425,879
2012;11;2012_Noviembre;9258146;9258146;1789015;1789015;7469131;7469131;9003153,577;1829920,902;7188930,449
2012;12;2012_Diciembre;9225793;9225793;1777958;1777958;7447835;7447835;8971691,659;1818611,083;7168433,358
2013;1;2013_Enero;9157961;9157961;1730961;1730961;7427000;7427000;8905727,921;1770539,495;7148379,972
2013;2;2013_Febrero;9124722;9124722;1747152;1747152;7377570;7377570;8873404,406;1787100,702;7100804,313
2013;3;2013_Marzo;9154125;9154125;1761220;1761220;7392905;7392905;8901997,574;1801490,368;7115564,028
2013;4;2013_Abril;9247693;9247693;1771449;1771449;7476244;7476244;8992988,478;1811953,254;7195776,609
2013;5;2013_Mayo;9312493;9312493;1775241;1775241;7537252;7537252;9056003,725;1815831,959;7254495,926
2013;6;2013_Junio;9335938;9335938;1780160;1780160;7555778;7555778;9078802,991;1820863,432;7272326,932
2013;7;2013_Julio;9403342;9403342;1790789;1790789;7612553;7612553;9144350,517;1831735,464;7326972,048
2013;8;2013_Agosto;9464562;9464562;1800605;1800605;7663957;7663957;9203884,365;1841775,907;7376447,654
2013;9;2013_Septiembre;9515859;9515859;1816256;1816256;7699603;7699603;9253768,518;1857784,768;7410756,413
