ingreso_Max_Sum;retiro_Max_Sum;suspension_temporal_Max_Sum;incapacidas_por_trabajo_Max_Sum;vacaciones_Max_Sum;cot_obligatoria_salud_Max_Sum;cot_obligatoria_salud_Max_Count;aporte_cot_obligatoria_pension_Max_Sum;aporte_cot_obligatoria_pension_Max_Count;variacion_transitoria_salario_Max_Sum;variacion_permanente_salario_Max_Sum;licencia_maternidad_Max_Sum;cot_obligatoria_arl_Max_Sum;cot_obligatoria_arl_Max_Count;valor_aportes_ccf_Max_Sum;valor_aportes_ccf_Max_Count;valor_aportes_parafiscales_sena_Max_Sum;valor_aportes_parafiscales_sena_Max_Count;valor_aportes_parafiscales_icbf_Max_Sum;valor_aportes_parafiscales_icbf_Max_Count;Tipologia;Edad_fin;Sexo_fin;YEAR;MONTH;Contribuye_salud_Sum;Contribuye_pension_Sum;Contribuye_arl_Sum;Contribuye_ccf_Sum;Contribuye_sena_Sum;Contribuye_icbf_Sum;Total_relaciones_laborales
997;710;22;7;4;124661000;3031;303514100;3031;342;37;11;53406300;3031;81966100;3031;7900900;3031;11840900;3031;"Dep_sec_priv";;;2018;8;2966;2467;2993;2959;325;326;3031
130;102;1;0;0;16075800;769;12706900;769;6;2;0;6998400;769;3377100;769;794900;769;1937100;769;"Dep_No_priv";;;2018;5;151;94;713;96;38;39;769
866;638;37;6;1;129798900;2852;314178000;2852;341;32;7;52783200;2852;83347800;2852;9013300;2852;13521800;2852;"Dep_sec_priv";;;2018;5;2807;2397;2819;2784;342;344;2852
873;675;30;5;2;127591600;2789;300006300;2789;329;30;16;50676030;2789;80590900;2789;8590500;2789;12874700;2789;"Dep_sec_priv";;;2018;7;2731;2281;2754;2709;339;340;2789
828;654;33;5;2;126973400;2802;311487800;2802;323;30;14;54205100;2802;82835100;2802;8002800;2802;11993100;2802;"Dep_sec_priv";;;2018;6;2771;2350;2770;2732;307;309;2802
194;76;0;0;0;51602900;766;17017700;766;4;2;0;14481700;766;200300;766;0;766;0;766;"Independiente";;;2018;5;498;119;359;16;0;0;766
183;75;0;0;0;53443800;782;15866500;782;3;0;0;15240300;782;239800;782;0;782;0;782;"Independiente";;;2018;6;505;103;354;16;0;0;782
1;1;1;0;0;1749300;9;3028100;9;2;0;0;205400;9;724800;9;233900;9;350700;9;"Dep_sec_priv";109;"M";2018;8;9;9;9;9;3;3;9
1;1;0;0;0;1757500;9;2824300;9;4;0;0;147100;9;741300;9;234500;9;351800;9;"Dep_sec_priv";109;"M";2018;6;9;7;9;9;4;4;9
2;3;0;0;0;1421900;11;3023700;11;2;0;0;151700;11;791800;11;149100;11;223600;11;"Dep_sec_priv";109;"M";2018;5;11;9;11;11;3;3;11
2;2;1;0;0;2842100;10;4300300;10;3;0;2;234000;10;1096700;10;427000;10;640300;10;"Dep_sec_priv";109;"M";2018;7;10;9;10;10;5;5;10
0;1;0;0;0;668800;5;480900;5;0;0;0;73300;5;15700;5;0;5;0;5;"Independiente";109;"M";2018;6;5;2;2;1;0;0;5
2;1;0;0;0;808800;6;660100;6;0;0;0;79200;6;15700;6;0;6;0;6;"Independiente";109;"M";2018;5;6;3;3;1;0;0;6
1;0;0;0;0;629700;5;355900;5;0;0;0;54200;5;15700;5;0;5;0;5;"Independiente";109;"M";2018;8;5;1;1;1;0;0;5
2;2;0;0;0;668800;6;480900;6;0;0;0;92300;6;15700;6;0;6;0;6;"Independiente";109;"M";2018;7;5;2;3;1;0;0;6
12565;12615;2750;822;168;12471015520;139677;33868616299;139677;60769;3068;5976;6136497650;139677;8507549041;139677;903895620;139677;1356819631;139677;"Dep_sec_priv";35;"M";2018;5;139298;130842;138661;138247;14401;14404;139677
11684;12827;2781;766;166;13217388950;138920;34399524099;138920;60359;2470;8736;6130503650;138920;8613713900;138920;1038570300;138920;1558587300;138920;"Dep_sec_priv";35;"M";2018;6;138557;130213;137702;137372;15040;15041;138920
12366;12314;2869;809;197;12440668550;138635;33863855299;138635;60270;3638;9001;6107685100;138635;8465749849;138635;885261900;138635;1329283100;138635;"Dep_sec_priv";35;"M";2018;7;138237;129945;137432;137243;13797;13803;138635
13023;12282;2836;787;210;12668458800;139533;34351115400;139533;60956;2509;7011;6219208800;139533;8605346100;139533;918280200;139533;1378209900;139533;"Dep_sec_priv";35;"M";2018;8;139163;130738;138406;138338;14258;14266;139533
5918;5659;1628;254;699;10618099650;98438;24873075600;98438;36084;2401;8066;2161850600;98438;6188021920;98438;942403700;98438;1415051600;98438;"Dep_sec_priv";39;"F";2018;7;98274;92016;96908;97247;17783;17795;98438
6;4;1;0;1;10561100;47;8619300;47;9;1;1;1320900;47;6882500;47;2562100;47;3842900;47;"Dep_sec_priv";95;"M";2018;7;47;24;47;46;14;14;47
11237;12274;2668;781;165;14127639816;138309;35459380799;138309;59332;2435;8927;6312106550;138309;8888361200;138309;1195431600;138309;1793186600;138309;"Dep_sec_priv";37;"M";2018;6;137909;129252;137026;136659;15915;15915;138309
4;3;0;0;0;173000;6;566200;6;1;0;0;88100;6;168500;6;7400;6;11100;6;"Dep_sec_priv";110;"M";2018;8;6;6;6;6;1;1;6
9;1;0;0;0;45994300;414;2198100;414;4;2;0;560500;414;80200;414;0;414;0;414;"Independiente";92;"M";2018;8;409;7;25;4;0;0;414
1;0;0;0;0;413100;5;345600;5;0;0;0;10100;5;0;5;0;5;0;5;"Independiente";105;"M";2018;8;4;2;1;0;0;0;5
0;0;0;0;0;315400;4;345600;4;0;0;0;10100;4;0;4;0;4;0;4;"Independiente";105;"M";2018;7;3;2;1;0;0;0;4
0;0;0;0;0;315400;5;345600;5;0;0;0;149300;5;0;5;0;5;0;5;"Independiente";105;"M";2018;5;3;2;2;0;0;0;5
0;1;0;0;0;315400;5;345600;5;0;0;0;149300;5;0;5;0;5;0;5;"Independiente";105;"M";2018;6;3;2;2;0;0;0;5
8341;7490;2204;291;1820;9727438401;114500;26075604600;114500;45555;2291;6943;2350335700;114500;6473453100;114500;670730800;114500;1006122300;114500;"Dep_sec_priv";31;"F";2018;8;114327;106715;112203;112924;16846;16858;114500
8;2;0;0;0;9202600;63;12047200;63;9;1;2;2265800;63;4798300;63;899700;63;1349300;63;"Dep_sec_priv";92;"M";2018;6;63;23;63;62;10;10;63
1;0;0;0;0;710700;5;534600;5;0;0;0;26600;5;0;5;0;5;0;5;"Independiente";106;"M";2018;5;4;1;2;0;0;0;5
1;1;0;0;0;15402300;115;351000;115;0;1;0;60600;115;15700;115;0;115;0;115;"Independiente";97;"M";2018;8;115;2;8;1;0;0;115
1371;1265;0;0;3;2283414600;20602;2707687100;20602;446;275;0;189803200;20602;21185100;20602;70400;20602;105400;20602;"Independiente";26;"F";2018;6;19718;17994;14520;1346;3;3;20602
884;1749;81;21;16;3213976000;14581;5103306300;14581;7235;158;2619;565947100;14581;1446781400;14581;316703600;14581;992601200;14581;"Dep_No_priv";34;"M";2018;6;10625;10390;10430;10824;8186;9308;14581
1048;1210;104;29;20;2994862000;14939;4932757900;14939;7248;206;464;539284000;14939;1232268900;14939;281740900;14939;848753600;14939;"Dep_No_priv";34;"M";2018;5;10635;10403;10787;10885;8117;9330;14939
13446;13509;3054;872;225;12567494160;147017;34953933900;147017;64677;3156;6213;6319222624;147017;8746105000;147017;854616700;147017;1282701200;147017;"Dep_sec_priv";34;"M";2018;5;146630;138046;145934;145506;14563;14566;147017
13380;13249;3283;851;226;12560666500;145665;34925187500;145665;63978;3816;9434;6291812000;145665;8717434700;145665;852756200;145665;1279981800;145665;"Dep_sec_priv";34;"M";2018;7;145254;136677;144459;144236;14000;14006;145665
11377;11540;2525;746;153;13465417420;135252;34540358600;135252;57714;2866;5707;6253994712;135252;8679485286;135252;1105011043;135252;1658860665;135252;"Dep_sec_priv";38;"M";2018;5;134847;126445;134107;133700;15525;15522;135252
1;0;0;0;0;20202300;192;257000;192;0;0;0;366200;192;0;192;0;192;0;192;"Independiente";96;"M";2018;5;190;2;14;0;0;0;192
2;2;0;0;0;19966100;192;282700;192;2;1;0;372500;192;0;192;0;192;0;192;"Independiente";96;"M";2018;6;190;3;15;0;0;0;192
4;1;0;0;0;19255600;185;250000;185;0;0;0;310700;185;0;185;0;185;0;185;"Independiente";96;"M";2018;8;183;2;12;0;0;0;185
2;2;0;0;0;19405400;187;250000;187;0;1;0;365100;187;0;187;0;187;0;187;"Independiente";96;"M";2018;7;185;2;13;0;0;0;187
7;7;0;0;0;99397700;857;2195000;857;3;0;0;1141700;857;38800;857;0;857;0;857;"Independiente";90;"M";2018;5;852;4;44;3;0;0;857
3;3;0;0;0;97943800;840;2320000;840;4;2;0;1082100;840;38800;840;0;840;0;840;"Independiente";90;"M";2018;6;837;5;42;3;0;0;840
10;6;0;0;0;102352400;820;3437200;820;4;2;0;857200;820;23100;820;0;820;0;820;"Independiente";90;"M";2018;8;815;6;42;2;0;0;820
4;4;0;0;0;97809700;822;2195000;822;5;0;0;839900;822;23100;822;0;822;0;822;"Independiente";90;"M";2018;7;819;4;39;2;0;0;822
15;12;1;0;0;40033700;165;21011100;165;28;2;2;4314000;165;19868000;165;6972800;165;10458800;165;"Dep_sec_priv";88;"M";2018;5;165;65;161;159;38;38;165
14;17;2;0;0;41201100;162;21706300;162;26;1;5;4289400;162;19718800;162;7221100;162;10831100;162;"Dep_sec_priv";88;"M";2018;6;162;64;157;156;39;39;162
9;7;1;0;0;38776300;143;17797100;143;21;1;5;4200100;143;18950800;143;6955700;143;10433400;143;"Dep_sec_priv";88;"M";2018;7;143;52;138;138;33;33;143
8;10;1;0;0;38696900;144;17386700;144;19;1;4;4319500;144;18908000;144;6984000;144;10475400;144;"Dep_sec_priv";88;"M";2018;8;144;52;140;140;34;34;144
2;0;0;0;0;15397800;115;266200;115;0;0;0;74700;115;15700;115;0;115;0;115;"Independiente";97;"M";2018;7;115;1;7;1;0;0;115
2;1;0;0;0;15384400;116;266200;116;0;0;0;68800;116;15700;116;0;116;0;116;"Independiente";97;"M";2018;6;116;1;7;1;0;0;116
1;2;0;0;0;15300000;116;266200;116;0;0;0;65200;116;15700;116;0;116;0;116;"Independiente";97;"M";2018;5;116;1;7;1;0;0;116
